Movie_Title,Start_Year,Score,Adjusted_Score,Consensus,Synopsis,Director,Cast_Names
Brotherhood of the Wolf,2001,73,77.394,"Brotherhood of the Wolf mixes its genres with little logic, but the end result is wildly entertaining.","In a rural province of France, a mysterious creature is laying waste to the countryside, savagely killing scores of women... [More]",Christophe Gans,"Samuel Le Bihan, Mark Dacascos, Émilie Dequenne, Vincent Cassel"
Kingsman: The Secret Service,2014,75,87.634,"Stylish, subversive, and above all fun, Kingsman: The Secret Service finds director Matthew Vaughn sending up the spy genre with gleeful abandon.","Gary ""Eggsy"" Unwin (Taron Egerton), whose late father secretly worked for a spy organization, lives in a South London housing... [More]",Matthew Vaughn,"Colin Firth, Michael Caine, Taron Egerton, Samuel L. Jackson"
The Fifth Element,1997,71,75.3,"Visually inventive and gleefully over the top, Luc Besson's The Fifth Element is a fantastic piece of pop sci-fi that never takes itself too seriously.","In the 23rd century, a New York City cabbie, Korben Dallas (Bruce Willis), finds the fate of the world in... [More]",Luc Besson,"Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich"
Big Trouble in Little China,1986,74,80.541,"Brimming with energy and packed with humor, Big Trouble in Little China distills kung fu B-movies as affectionately as it subverts them.","Kurt Russell plays hard-boiled truck driver Jack Burton, who gets caught in a bizarre conflict within, and underneath, San Francisco's... [More]",John Carpenter,"Kurt Russell, Kim Cattrall, Dennis Dun, James Hong"
Atomic Blonde,2017,79,99.228,Atomic Blonde gets enough mileage out of its stylish action sequences -- and ever-magnetic star -- to make up for a narrative that's somewhat less hard-hitting than its protagonist.,"Sensual and savage, Lorraine Broughton is the most elite spy in MI6, an agent who's willing to use all of... [More]",David Leitch,"Charlize Theron, James McAvoy, Eddie Marsan, John Goodman"
Rumble in the Bronx,1995,80,83.681,An entertaining Jackie Chan stunt-fest in which the impressive action sequences overcome the low production value and by-the-numbers plot.,"Hong Kong policeman Keung (Jackie Chan) arrives in New York for the wedding of his uncle Bill (Bill Tung), a... [More]",Stanley Tong,"Jackie Chan, Anita Mui, Bill Tung, Françoise Yip"
District B13,2004,80,83.335,"A nonstop thrill ride, District B13's dizzying action sequences more than make up for any expository flaws.","In 21st-century Paris, a member (Cyril Raffaelli) of an elite police squad must enter a crime-ridden ghetto to defuse a... [More]",Pierre Morel,"Cyril Raffaelli, David Belle, Tony D'Amario, Bibi Naceri"
Beverly Hills Cop,1984,83,87.577,"The buddy cop movie continues its evolution unabated with this Eddie Murphy vehicle that's fast, furious, and funny.","After his childhood buddy is murdered while visiting Detroit, rebellious cop Axel Foley (Eddie Murphy) follows the leads to Beverly... [More]",Martin Brest,"Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher"
Ong-Bak: The Thai Warrior,2003,85,88.305,"While Ong-Bak: The Thai Warrior may be no great shakes as a movie, critics are hailing the emergence of a new star in Tony Jaa, whose athletic performance is drawing comparisons with Bruce Lee, Jackie Chan, and Jet Li.","In Thailand, the impoverished village of Ban Nong Pradu has its most precious Buddha statue stolen from the temple. Luckily... [More]",Prachya Pinkaew,"Tony Jaa, Pumwaree Yodkamol, Phetthai Vongkumlao, Suchao Pongwilai"
Collateral,2004,86,93.894,"Driven by director Michael Mann's trademark visuals and a lean, villainous performance from Tom Cruise, Collateral is a stylish and compelling noir thriller.",A cab driver realizes his current fare is a hit man that has been having him drive around from mark... [More],Michael Mann,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo"
Iron Monkey,1993,91,100.29,"Iron Monkey may not have the poetic lyricism of Crouching Tiger, it makes up for it in fun and energy.","In a desperate and unjust land, where government corruption rules the day, only one man has the courage to challenge... [More]",Woo-Ping Yuen,"Yu Rong-Guang, Donnie Yen, Sze-Man Tsang, Jean Wang"
Escape From New York,1981,88,94.753,"Featuring an atmospherically grimy futuristic metropolis, Escape from New York is a strange, entertaining jumble of thrilling action and oddball weirdness.","In 1997, a major war between the United States and the Soviet Union is concluding, and the entire island of... [More]",John Carpenter,"Kurt Russell, Ernest Borgnine, Adrienne Barbeau, Lee Van Cleef"
Battle Royale,2000,88,89.213,"Battle Royale is a controversial and violent parable of adolescence, heightening teenage melodrama with life-or-death stakes.","42 9th graders are sent to a deserted island. They are given a map, food, and various weapons. An explosive... [More]",Kinji Fukasaku,"Tatsuya Fujiwara, Aki Maeda, Taro Yamamoto, Masanobu Andô"
Spider-Man 2,2004,93,102.314,"Boasting an entertaining villain and deeper emotional focus, this is a nimble sequel that improves upon the original.","When a failed nuclear fusion experiment results in an explosion that kills his wife, Dr. Otto Octavius (Alfred Molina) is... [More]",Sam Raimi,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina"
13 Assassins,2010,95,99.819,"Takashi Miike's electric remake of Eiichi Kudo's 1963 period action film is a wild spectacle executed with killer, dizzying panache.","In this remake of a 1963 film based on historical events, Shinzaemon Shimada leads a team of assassins in 19th-century... [More]",Takashi Miike,"Kôji Yakusho, Takayuki Yamada, Yusuke Iseya, Goro Inagaki"
Full Contact,1992,89,81.733,No consensus yet.,"Jeff (Chow Yun-Fat), who works as a nightclub bouncer in Bangkok, saves his friend Sam (Wong Chow-Sang) from a beating... [More]",Ringo Lam,"Chow Yun-Fat, Simon Yam, Bonnie Fu, Wong Chow-Sang"
Indiana Jones and the Last Crusade,1989,84,96.976,"Lighter and more comedic than its predecessor, Indiana Jones and the Last Crusade returns the series to the brisk serial adventure of Raiders, while adding a dynamite double act between Harrison Ford and Sean Connery.",An art collector appeals to Jones to embark on a search for the Holy Grail. He learns that another archaeologist... [More],Steven Spielberg,"Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody"
Kung Fu Hustle,2004,91,97.137,"Kung Fu Hustle blends special effects, martial arts, and the Looney Toons to hilarious effect.",When the hapless Sing and his dim-witted pal Bone try to scam the residents of Pig Sty Alley into thinking... [More],Stephen Chow,"Stephen Chow, Yuen Wah, Yuen Qiu, Siu-Lung Leung"
A Better Tomorrow,1986,92,92.485,No consensus yet.,A Hong Kong policeman (Leslie Cheung) blames his reformed-gangster brother (Chow Yun-Fat) for the death of their father.... [More],John Woo,"Ti Lung, Chow Yun-Fat, Leslie Cheung, Emily Chu"
Iron Man,2008,94,105.595,"Powered by Robert Downey Jr.'s vibrant charm, Iron Man turbo-charges the superhero genre with a deft intelligence and infectious sense of fun.","A billionaire industrialist and genius inventor, Tony Stark (Robert Downey Jr.), is conducting weapons tests overseas, but terrorists kidnap him... [More]",Jon Favreau,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow, Jeff Bridges"
The Night Comes for Us,2018,91,91.923,"A bloody thrill ride designed to test the limits of more squeamish viewers, The Night Comes for Us wields a stylishly violent, action-packed punch.","Ito, a gangland enforcer, is caught amidst a treacherous and violent insurrection within his Triad crime family.... [More]",Timo Tjahjanto,"Joe Taslim, Iko Uwais, Julie Estelle, Sunny Pang"
Logan,2017,94,117.882,"Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions.","In the near future, a weary Logan (Hugh Jackman) cares for an ailing Professor X (Patrick Stewart) at a remote... [More]",James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Richard E. Grant"
007: Goldfinger,1964,99,106.921,"Goldfinger is where James Bond as we know him comes into focus - it features one of 007's most famous lines (""A martini. Shaken, not stirred."") and a wide range of gadgets that would become the series' trademark.","Special agent 007 (Sean Connery) comes face to face with one of the most notorious villains of all time, and... [More]",Guy Hamilton,"Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton"
Assault on Precinct 13,1976,96,101.953,"Lean, taut and compellingly gritty, John Carpenter's loose update of Rio Bravo ranks as a cult action classic and one of the filmmaker's best.","When the LAPD kills several members of the South Central gang Street Thunder, the remaining members avenge themselves by way... [More]",John Carpenter,"Austin Stoker, Darwin Joston, Laurie Zimmer, Martin West"
Wonder Woman,2017,93,119.782,"Thrilling, earnest, and buoyed by Gal Gadot's charismatic performance, Wonder Woman succeeds in spectacular fashion.","Before she was Wonder Woman (Gal Gadot), she was Diana, princess of the Amazons, trained to be an unconquerable warrior.... [More]",Patty Jenkins,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright"
The Chinese Connection,1972,83,84.831,No consensus yet.,"Chen Zhen (Bruce Lee) has left his homeland of China and relocated to stay with family in Thailand. Chen, who... [More]",Lo Wei,"Bruce Lee, Nora Miao, James Tien, Robert Baker"
Captain America: The Winter Soldier,2014,90,104.932,"Suspenseful and politically astute, Captain America: The Winter Soldier is a superior entry in the Avengers canon and is sure to thrill Marvel diehards.","After the cataclysmic events in New York with his fellow Avengers, Steve Rogers, aka Captain America (Chris Evans), lives in... [More]",Anthony Russo,"Chris Evans, Scarlett Johansson, Samuel L. Jackson, Sebastian Stan"
Oldboy,2003,82,87.28,"Violent and definitely not for the squeamish, Park Chan-Wook's visceral Oldboy is a strange, powerful tale of revenge.","Dae-Su is an obnoxious drunk bailed from the police station yet again by a friend. However, he's abducted from the... [More]",Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Ji Dae-han"
